text,label
preciso de suporte técnico urgente o sistema está fora do ar desde às h,1
por favor pode me ajudar com o erro  que está aparecendo no módulo de relatórios,1
solicito atualização sobre o caso  aberto na semana passada,1
preciso de suporte técnico urgente o sistema está fora do ar desde às h,1
por favor pode me ajudar com o erro  que está aparecendo no módulo de relatórios,1
solicito atualização sobre o caso  aberto na semana passada,1
preciso agendar uma reunião para discutir o projeto xyz,1
o relatório mensal de vendas está pronto para revisão,1
olá como você está vamos marcar um café,0
você viu o último episódio daquela série está incrível,0
feliz aniversário espero que tenha um dia maravilhoso,0
ei vamos jogar futebol no final de semana,0
você já experimentou o novo restaurante da esquina,0
